sep_index,pp_index,cdaw_sep_id,timestamp,cdaw_start_time,cdaw_max_time,cdaw_evn_max,cme_id,cme_launch_time,cme_1st_app_time,lasco_cme_width,p_cme_width,lasco_linear_speed,p_cme_speed,fl_id,fl_start_time,fl_peak_time,fl_rise_time,fl_lon,fl_lat,fl_goes_class,noaa_ar,noaa_ar_uncertain,harpnum,noaa_pf10MeV,ppf_gt10MeV,ppf_gt30MeV,ppf_gt60MeV,ppf_gt100MeV,fluence_gt10MeV,fluence_gt30MeV,fluence_gt60MeV,fluence_gt100MeV,gsep_pf_gt10MeV,gsep_max_time,gsep_fluence_gt10MeV,m_type2_onset_time,dh_type2_onset_time,start_fr,noaa-sep_flag,Inst_category,Comments,Notes,Fe_e_p_shock_notes,gsep_notes,slice_start,slice_end,Flag
gsep_035,psep_045,,6/20/1989 21:20,,,,,,,,,,,,,,,,,,,TRUE,,,1.11,0.62,0.38,0.24,31000,18000,11500,7010,1.41,6/21/1989 1:25,299469,,,,0,P,,,,,6/20/1989 9:20,6/21/1989 8:20,0
gsep_036,psep_046,,6/29/1989 4:45,,,,,,,,,,,,6/29/1989 2:54,6/29/1989 3:15,21,28,28,C7.3,5555,FALSE,,,4.79,,,,92400,,,,4.54,6/29/1989 9:45,739669,,,,0,P,,,,AR from LMSAL-HEK,6/28/1989 16:45,6/29/1989 15:35,0
gsep_037,psep_047,,6/29/1989 22:55,,,,,,,,,,,,6/29/1989 21:08,6/29/1989 21:18,10,44,28,M3.7,5555,FALSE,,,5.9,,,,196000,,,,3.03,6/30/1989 7:15,1020172,,,,0,S,,,,AR from LMSAL-HEK; Data corrected for spike,6/29/1989 10:55,6/30/1989 17:25,0
gsep_038,psep_048,,6/30/1989 20:20,,,,,,,,,,,,6/30/1989 17:36,6/30/1989 17:47,11,24,19,M2.1,5569,FALSE,,17,6.59,,,,295000,,,,6.14,7/1/1989 7:20,2387662,,,,1,P,,Spike,,AR from LMSAL-HEK; Data corrected for spike,6/30/1989 8:20,7/1/1989 21:20,0
gsep_039,psep_049,,7/25/1989 9:35,,,,,,,,,,,,7/25/1989 8:39,7/25/1989 8:43,4,84,25,X2.6,5603,FALSE,,54,31.11,14.71,7.08,3.61,1240000,467000,208000,102000,32,7/25/1989 12:20,11934182,,,,1,P,,,,AR from LMSAL-HEK,7/24/1989 21:35,7/26/1989 1:05,1
gsep_040,psep_050,,8/12/1989 16:20,,,,,,,,,,,,8/12/1989 13:57,8/12/1989 14:24,27,37,-16,X2.6,5629,FALSE,,9200,4749.12,999.31,137.96,21.66,330000000,49100000,5110000,704000,6550,8/13/1989 7:05,5563011006,,,,1,P,,,,AR from LMSAL-HEK,8/12/1989 4:20,8/14/1989 17:30,1
gsep_041,,,8/15/1989 6:30,,,,,,,,,,,,8/15/1989 1:42,8/15/1989 2:17,35,73,-16,X1.0,5629,FALSE,,,316,,,,,,,,938,8/16/1989 5:25,277116746,,,,0,P,,,,AR & Flare location from Kurt et al. (2004),8/14/1989 18:30,8/16/1989 5:25,1
gsep_042,psep_051,,8/16/1989 1:30,,,,,,,,,,,,8/16/1989 1:08,8/16/1989 1:17,9,84,-18,X20,5629,FALSE,,,1090.87,204.32,65.29,28.63,66600000,10800000,2630000,968000,1430,8/16/1989 14:25,1149785212,,,,0,P,,,,AR from LMSAL-HEK,8/15/1989 13:30,8/17/1989 7:00,1
gsep_043,psep_052,,8/17/1989 7:05,,,,,,,,,,,,8/17/1989 1:32,8/17/1989 1:35,3,88,-17,X2.9,5629,FALSE,,,755.27,143.04,26.45,6.69,40100000,6940000,1270000,330000,986,8/17/1989 9:45,641669043,,,,0,P,Taken by 6,,,AR from LMSAL-HEK,8/16/1989 19:05,8/19/1989 9:15,1
gsep_044,psep_053,,8/19/1989 19:25,,,,,,,,,,,,8/19/1989 19:11,8/19/1989 19:46,45,125,-18,,5645,FALSE,,,229.25,25.81,5.06,1.5,9390000,1250000,268000,86300,285,8/20/1989 1:55,130190490,,,,0,P,Taken by 6,,,AR & Flare location from Kurt et al. (2004),8/19/1989 7:25,8/20/1989 20:25,1
gsep_045,psep_054,,8/22/1989 9:10,,,,,,,,,,,,8/22/1989 2:05,8/22/1989 2:08,3,-25,-20,C3.4,5652,FALSE,,,21.7,2.75,0.69,0.3,4110000,725000,229000,105000,26.9,8/23/1989 20:25,39356063,,,,0,P,Taken by 6,,,AR from LMSAL-HEK,8/21/1989 21:10,8/25/1989 16:10,1
gsep_046,psep_055,,8/31/1989 14:15,,,,,,,,,,,,8/31/1989 9:32,8/31/1989 9:35,3,-58,-17,C3.7,5669,FALSE,,,3.91,,,,441000,,,,5.11,9/1/1989 6:40,3257094,,,,0,P,No meanigful ,,,AR from LMSAL-HEK,8/31/1989 2:15,9/2/1989 0:05,0
gsep_047,psep_056,,9/4/1989 3:05,,,,,,,,,,,,9/3/1989 14:28,9/3/1989 14:31,3,-16,-18,X1.2,5669,FALSE,,44,16.77,,,,1140000,,,,16.9,9/4/1989 9:20,9054497,,,,1,P,,Brief data gap,,AR from LMSAL-HEK; Data corrected for spike,9/3/1989 15:05,9/5/1989 2:10,1
gsep_048,psep_057,,9/12/1989 22:25,,,,,,,,,,,,9/12/1989 10:03,9/12/1989 10:09,6,-13,17,M7.3,5686,FALSE,,57,25.6,2.08,,,1560000,172000,,,32.5,9/13/1989 8:25,20238127,,,,1,P,,Brief data gap,,Flare data from LMSAL-HEK,9/12/1989 10:25,9/13/1989 23:30,1
gsep_048_1,,,9/16/1989 2:00,,,,,,,,,,,,9/15/1989 22:30,9/15/1989 23:48,18,23,23,M2.3,5687,FALSE,,,,,,,,,,,4.74,9/16/1989 13:50,1656446,,,,0,P,,,,Flare data from LMSAL-HEK,9/15/1989 14:00,9/16/1989 18:50,0
