run_id,proximity_weight,sparsity_weight,diversity_weight,l0_penalty_weight,ordering_penalty,proximity,sparsity,diversity_mean_pairwise_l1,diversity_stddev
252,1.0,1.0,0,100,100,628.082028916559,927.4,233.137230954732,32.811943116832296
253,1.0,1.0,1,0,1,640.4975350543777,927.9,219.34918029577705,26.566068011304896
254,1.0,1.0,1,0,10,649.9821560967459,927.2,196.78826418901068,52.455293090016994
255,1.0,1.0,1,0,100,919.7592240208407,928.0,3.9391848048463936,1.5314484413191194
256,1.0,1.0,1,1,1,918.635505709149,928.0,5.174047660011449,1.7583238441896831
257,1.0,1.0,1,1,10,652.5537613457526,927.8,216.85852035947968,40.28428926021309
258,1.0,1.0,1,1,100,919.2658567231643,928.0,3.129509298648537,1.2960548136007342
259,1.0,1.0,1,10,1,914.3982312350666,928.0,6.773431823114284,2.0120268242380783
260,1.0,1.0,1,10,10,656.5099896299491,927.8,214.1530765995398,40.78107581252167
261,1.0,1.0,1,10,100,920.3531813526744,928.0,2.963034820191189,1.2680752836024072
262,1.0,1.0,1,100,1,924.5282372634614,928.0,1.248701587814692,0.6960911710574647
263,1.0,1.0,1,100,10,916.1940545400588,928.0,6.9825798881993375,2.057908766937143
264,1.0,1.0,1,100,100,919.1173113744204,928.0,3.965065599434155,1.6230747199260962
265,1.0,1.0,5,0,1,924.4985066283384,928.0,2.2222222222222223,1.0086049527031302
266,1.0,1.0,5,0,10,633.8715729669204,927.7,207.6064911523915,35.555667334941226
267,1.0,1.0,5,0,100,922.5018007704282,928.0,1.890464428457234,0.8487033308598241
268,1.0,1.0,5,1,1,925.1126913918326,928.0,1.2444552050564115,0.7484981434051912
269,1.0,1.0,5,1,10,921.7502402913552,928.0,2.33031671493538,1.4708598120126517
270,1.0,1.0,5,1,100,629.6887633555425,927.6,218.55042784472604,42.62897960830243
271,1.0,1.0,5,10,1,609.2838566474319,927.3,222.3722912765841,40.3110775450884
272,1.0,1.0,5,10,10,649.0019026051939,928.0,220.00623281816263,42.65023205811033
273,1.0,1.0,5,10,100,923.8889350734286,928.0,1.3775041876899203,0.760553436823733
274,1.0,1.0,5,100,1,921.5890393673996,928.0,2.5333497351822207,1.1551994857948704
275,1.0,1.0,5,100,10,916.1589592970402,928.0,6.891393360221316,2.0166211965900303
276,1.0,1.0,5,100,100,594.4766895838034,926.7,232.19441533303905,37.66369712888317
277,1.0,1.0,10,0,1,922.9538973999976,928.0,2.122751322751322,0.9134573947210398
278,1.0,1.0,10,0,10,923.4425439936916,928.0,2.075576367927062,1.0101376211951107
279,1.0,1.0,10,0,100,919.961966894163,928.0,4.615084912911959,1.791203882452607
